grade,subject,topic,difficulty,learning_outcome,activity_type,robotics_kit,ai_concept,engineering_skill,assessment_method,duration,materials,career_connection
Grade 6,Coding,Data Structuring & Analysis 6,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 7,Robotics,Sensor Guidance Protocols 7,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 7,Coding,Data Structuring & Analysis 7,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 8,Robotics,Sensor Guidance Protocols 8,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 8,Coding,Data Structuring & Analysis 8,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 9,Robotics,Custom Autonomy Nodes 9,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 9,Coding,Data Structuring & Analysis 9,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 10,Robotics,Custom Autonomy Nodes 10,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 10,Coding,Data Structuring & Analysis 10,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 11,Robotics,Custom Autonomy Nodes 11,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 11,Coding,Data Structuring & Analysis 11,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 12,Robotics,Custom Autonomy Nodes 12,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 12,Coding,Data Structuring & Analysis 12,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
